object_id	close_time	1_审核人	1_have_noise	1_is_discard	1_phone_text	1_text	2_审核人	2_have_noise	2_is_discard	2_phone_text	2_text	audio_url
1	2020-09-21 10:22:12	luojiawen.1017	否	否	song4 song4 xve2	上上学	luojiawen.1017	否	否	song4 song4 xve2	上上学	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v02a59b70000bt2h343ge16p8lm9b6v0&intranet=1
87507	2020-09-21 10:24:10	luojiawen.1017	否	否	yi3 bai2 cheng2 zhong1 jiang1 yv4 xing2	李白乘舟将欲行	luojiawen.1017	否	否	yi3 bai2 cheng2 zhong1 jiang1 yv4 xing2	李白乘舟将欲行	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v02a59f80000bspumsbkh8o60h6873g0&intranet=1
12503	2020-09-21 10:27:11	yangxiao.1116	否	否	ang4 xve2 sang4 xve2	上学上学	yangxiao.1116	否	否	ang4 xve2 sang4 xve2	上学上学	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v02a59ef0000bt1qn738opecgrtm6tgg&intranet=1
12504	2020-09-21 10:29:31	yangxiao.1116	否	否	ren2 lai2 niao3 bu4 jing1	人来鸟不惊	yangxiao.1116	否	否	ren2 lai2 niao3 bu4 jing1	人来鸟不惊	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v03a59190000btasd0q5lp9gjtg0n0dg&intranet=1
4	2020-09-21 10:31:39	yangxiao.1116	否	否	chi3 chi3 zi5	尺尺子	yangxiao.1116	否	否	chi3 chi3 zi5	尺尺子	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v03a59a20000bssvh40lqh8mer0v28q0&intranet=1
25006	2020-09-21 11:35:49	luojiawen.1017	否	否	jian4 kan4 jian4	见看见	luojiawen.1017	否	否	jian4 kan4 jian4	见看见	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v02a59e90000bt2snutkpp87udk26830&intranet=1
5	2020-09-21 11:36:32	yangxiao.1116	否	否	yvan3 kan4 shan1 you3 se4 yvan3 kan4	远看山有色远看	yangxiao.1116	否	否	yvan3 kan4 shan1 you3 se4 yvan3 kan4	远看山有色远看	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v02a59060000bt1o97j9sce6evuk91ng&intranet=1
87511	2020-09-21 11:38:37	yangxiao.1116	否	否	da4 da4 xiang4	大大象	yangxiao.1116	否	否	da4 da4 xiang4	大大象	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v03a59e40000bt2d336j4r3iinu328a0&intranet=1
37507	2020-09-21 11:41:03	luojiawen.1017	否	否	da4 da4 feng1	大大风	luojiawen.1017	否	否	da4 da4 feng1	大大风	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v03a59d70000bt2a00mtn227li04lhg0&intranet=1
62510	2020-09-21 11:42:02	yangxiao.1116	否	否	niao3 xiao6 niao3	鸟小鸟	yangxiao.1116	否	否	niao3 xiao6 niao3	鸟小鸟	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v03a59f60000btarl9gd7jik86b2pvkg&intranet=1
87512	2020-09-21 11:43:19	luojiawen.1017	否	否	you3 you3 qing2	友友情	luojiawen.1017	否	否	you3 you3 qing2	友友情	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v0da598d0000bsm0hiep8gqoapm43fkg&intranet=1
62511	2020-09-21 11:44:00	yangxiao.1116	否	否	san1 san1 chuan1	山山川	yangxiao.1116	否	否	san1 san1 chuan1	山山川	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v03a59ae0000bt2b3nn7ptqm8knlc1pg&intranet=1
12508	2020-09-21 11:44:38	luojiawen.1017	否	否	huo3 huo3 ban4	伙伙伴	luojiawen.1017	否	否	huo3 huo3 ban4	伙伙伴	http://api-hotsoon.bytedance.net/hotsoon/review/video/_playback/?video_id=v03a59b30000btd1kei1c7ro8ef02nng&intranet=1
